video_name,caption01,caption02,caption03,caption04,caption05,caption06,caption07,caption08,caption09,caption10,caption11
-YwZOeyAQC8_15.mp4,A man playing on the wii which is making the baby chuckle while the dog ignores them from the other sofa,"A man in shorts sits in a chair next to a standard lamp, with a smiling baby on his lap, operating a Wii remote controller, while two small dogs are sat on a nearby sofa",A man with a baby on his lap playing Wii,father & child enjoying a show,"A man sits playing video games on his TV while holding a baby, with two small dogs resting on a nearby sofa",,,,,,
1AIVH5cEWrI_35.mp4,Two young women are facing one another and swaying side-to-side while singing. ,Two friends singing and swaying together while looking into each other's eyes.,Two women sing together.,Two girls are dancing close together and facing each other.,Two females learning how to sing together in harmony.,,,,,,
2-8-0-2-5-4-8-8-5028025488_7.mp4,A little girl around 6 years old is paging through a picture with her toddler sister,two siblings reading the book,two young children reading a book together,Two children reading a book together.,"A young girl sits looks at a book, turning the pages, while a younger child looks over her shoulder",Girl and boy watching book,"Two children are reading a picture book; the older one turns a page and looks at it intently while sitting, and the younger one stands and points at it.",A young girl is reading a book and her little sister points to something on the page,"Two toddlers flipping through a children's book
","A girl in a pink dress is looking through a book and her sibling is standing next to her, watching as she does this ",two sisters reading a book
3PJaYWt0cws_5.mp4,"A boy riding a skateboard down a ramp
",A boy riding a skateboard going down a ramp,A boy is going down a ramp on a skateboard and another boy is sitting watching him.,A boy is riding a skateboard down a fairly small skateboard ramp whilst another boy watches him.,A young boy is skateboarding down a ramp.  Another boy is sitting on the edge of the ramp watching him.,A boy is skateboarding down a ramp whilst another boy sits on the edge of the ramp and watches.,A young boy skateboarding at a skate park.,,,,
7-5-1-0-3-6-9-8-3775103698_9.mp4,two people discuss plans for a playground,Two people are looking at a basketball court map.,A woman is talking to another woman about a poster showing a playing field and gesturing her hands at the same time.,One person is looking at and motioning towards a picture of a stadium and the other person is looking and listening.,Q woman explaining a picture to a man.,,,,,,
8-6-0-3-9-6-6-0-19586039660_4.mp4,Two kids playing with a toy dog.,Kids playing with a teddy of cat or dog ,"A girl and boy are playing with a toy cat, the girl picks something up and then sits down, the boy then reaches for his turn.",two children interacting with what appears to be a toy dog.,two babies play with toy,Two small children are playing with a toy in their living room.,,,,,
9hlyu-wDkg4_4.mp4,Two men are outside and talking.,"two males are talking about their gardening plans, and are preparing for the hot work.",Two men look around and talk.,"There are two men, who seem to be discussing something, and one of the men, with his hands in his pockets seems to be dominating the conversation. ",Two adult males conversing in front of a house.,,,,,,
9jw7D-exQDg_77.mp4,two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks,A little girl sings with a older female,A lady and a young girl sing into a microphone.,"Two girls, one significantly younger, sing into microphones at home.",2 sisters are singing together,,,,,,
FJzKgF-nR0E_15.mp4,The baby in the bouncy chair and the adult are enjoying a good time together.,A woman tries to entertain a baby.,child playing with a baby,A woman playfully laughs at a child who looks back at her.,A baby is playing with there toys well an older girl is laughing with them.,,,,,,
FSQ2vBJ0hmw_20.mp4,Two very young babies are laying down on their backs and mildly squirming their legs. ,Two young babies in baby gros together laid down.,Two young babies are wriggling side by side in a cot.,The babies are laying in the bed,"Two babies are lying in the cot kicking their legs, one on his back the other is on his front",,,,,,
IkTAuzVeD2Q_46.mp4,"Two children are in a kitchen, the elder child is feeding the younger one.",A young girl who appears to perhaps be an elder sister is holding out a spoon of food and feeding it to a younger boy in a high chair wearing a bib. The young boy is taking the food and has food around his mouth and front.,Toddler feeding her baby brother or sister,A child feeding another.,one child feeding another in a highchair ,,,,,,
WJ-84ioZqcc_41.mp4,Two little brothers are laughing and playing together on a bed with their toys in their little hands.,Two children laugh and play with a basketball and a football. ,two children playing,Two children play with toy balls on a bed.,Two young children are playing on the bed,,,,,,
b7y36KyAIoI_120.mp4,A woman has baked some treats and a man looks like he is complimenting her work whilst tasting.,A woman laughs in a kitchen.,A man is describing and discussing food with a woman beside him in a kitchen.,Man speaking to female cook whilst trying food,"A man and a woman are standing in a kitchen, observing a plate of food. The man reaches for the food while the woman smiles.",,,,,,
bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,A woman is singing to a man on stage.,a sister on the stage singing a song to her brother,Woman singing towards a man. ,A lady is sitting down and speaking into a microphone,A woman is talking or singing into a mic while looking at a man that is partially off camera.,,,,,,
eJRbWjg73fE_116.mp4,An adult and child cooking,A dad teaching a boy how to cook a dessert.,Father showing teenager how to cook,a man with his son in the kitchen,Baking a cake.,,,,,,
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,Two men fishing by a very windy coastline.,"Two people quietly fishing by the ocean, waiting for the fish to bite.",Two people sea fishing on the edge of a metal fence.,Man playing with his fishing pole while a woman stands next to her fishing pole.,"Two people are separately fishing at a beach, they are not together.",,,,,,
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,2 teenage girls performing musical act,Two women are on a stage singing. ,"A girl is sitting on the floor playing the guitar, while another girl is singing.","Two people are performing on stage, one sitting playing guitar and the other standing singing. They are aware of each other but not interacting.","on a stafe with a black curtain behind them, a girl in an open checked top holds a microphone while a figure sits cross legged on the floor playing guitar",,,,,,
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,A drummer and a pinist playing together ,A man playing the drums and another man on the keyboard,Two musicians are playing musical instruments.,Two men are playing music together. One is sitting at his drum kit playing the drums and one is sitting playing a keyboard. They look like they are a band practising.,One person is playing a keyboard and may be singing as there is a microphone in front of his mouth.  Another person is playing a drum and cymbal set.,"One person is playing a keyboard, perhaps also singing and another person is playing a drum and cymbal set. ",A man singing & playing the keyboard while the other plays drums.,,,,
flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,The adult is holding the baby's bottle and pretending to suck on it while the baby is laughing about it.,A baby laughs at a man drinking through a straw.,man playing with a baby,A man is drinking a drink whilst the baby is laughing at him.,A man is drinking something from a straw well a baby is laughing at him,,,,,,
flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,The child is showing the baby the book.,Baby watching a child read them a picture story. ,A young child reads a book to a baby.,a brother reading his baby brother a book ,One child showing his baby sibling a book,,,,,,
flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,One toddler tickles another with a feather duster,a baby is tickling another baby with a large brush,A child is waving a yellow fluffy duster to amuse a baby in a highchair.,todler touches baby head with duster,Playing ,two toddlers with one with a feather brush tickling the other toddler with it.,,,,,
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,A couple hiking with some dogs,A man and a women hiking with 3 dogs behind them,A man and a woman are walking dogs in the forest.,Two people are out for a walk in the woods with either their own dogs or they have passed some dogs whilst out walking.,A man and a woman holding a lead are walking in the foreground with some dogs in the background.,A man and a woman hiking with 3 dogs.,,,,,
flickr-1-6-4-12557575164_3.mp4,A man and a small girl on a cart that is being pulled on a small track line.,The girl smiles at the van as they are moved along the track.,An asian man and daughter on a rail track.,Man and girl travelling on railcart.,"A parent and their child are riding a cart on a track together, smiling and posing for the camera.",,,,,,
flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4,father reading to a young baby,A man is reading to a baby. ,"A father is reading to his baby, who is pointing out things in the book, while he is on his knee. ","A father is sitting with his child in front, on his lap, as they read a story book together",a man sits on a sofa reading a book with an infant child sat on his lap pointing at the pages,,,,,,
flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4,two men working while sparks fly in the background,Two guys work in a kitchen with a big flame in the background.,Two people in a kitchen and one of them is carrying a silver pot.,One man picks up a pot and carries it across the kitchen as another man walks past him looking at him.,A cook preparing a meal.,,,,,,
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,looks like a chef is showing a student on how to decorate the pastries .,"Fast worker puts topping on small cakes in a kitchen, with someone paying close attention.",one man is frosting cupcakes while the other man is watching and paying attention,Looks like someone trying to bake & beening shown how to do it.,A man decorates a baked good while another watches.,,,,,,
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,Two men are looking at a computer.,Two men looking at a computer screen with one man pointing something out to the other,One man sitting at a computer while another man behind him points something out to him on the monitor.,a guy teaching and showing another guy something on a computer ,two men looking at a computer screen and one man pointing something out,,,,,,
flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4,Two people stand facing each other while one talks to the other,One man speaks to another man.,A man is explaining something to another man right in front of him.,Man speaking to woman in front of door.,"Two young men talk to each other in front of a door, while standing a few feet apart.",,,,,,
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,Two babies are standing on opposite sides of an open drawer and playing with the plastic containers that are stored inside the drawer.,two toddlers having fun playing and banging around in the tupperware drawer,Two toddlers playing with a kitchen drawer full of Tupperware.,Two babies are playing with Tupperware inside a drawer,Two babies are playing in a kitchen drawer happily banging around Tupperware.,,,,,,
flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4,An older brother is trying to play pattie cake with his little baby sister who's seated in her safety seat.,Siblings interact playfully with each other.,child playing with a baby,A boy plays with a babies arms whilst the baby is resting.,One older child is holding the younger child by there hands and putting them together,,,,,,
